,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ID,Input.plain,Input.tags,Input.number,Answer.WritingTexts,Approve,Reject
0,3EPG8DX9LKQCFDYSKHJISD4TM765PU,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,32ZKVD547FN9KO88DVIP6GW429LB3U,A2ZCFX0U2KQCSD,Submitted,Sun Dec 03 00:31:18 PST 2017,Sun Dec 03 00:31:37 PST 2017,Wed Dec 06 00:31:37 PST 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),356,612 S ALASKA ST,[612] [S] [ALASKA] [ST],4,STREET_NUMBER PRE_DIRECTION STREET_NAME STREET_TYPE,x,
1,3EPG8DX9LKQCFDYSKHJISD4TM765PU,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,33IZTU6J811KH8WO86B83LV8DS7SXB,A3UWM3KJYEL5XU,Submitted,Sun Dec 03 00:21:41 PST 2017,Sun Dec 03 00:21:54 PST 2017,Wed Dec 06 00:21:54 PST 2017,,,,13,100% (3/3),100% (3/3),100% (3/3),356,612 S ALASKA ST,[612] [S] [ALASKA] [ST],4,STREET_NUMBER PRE_DIRECTION STREET_NAME STREET_TYPE,x,
2,3EPG8DX9LKQCFDYSKHJISD4TM765PU,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3B1NLC6UGZWCIUL6RF7AKUQ2NI4GPR,A26Y58YECZUZZG,Submitted,Sun Dec 03 00:10:50 PST 2017,Sun Dec 03 00:11:09 PST 2017,Wed Dec 06 00:11:09 PST 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),356,612 S ALASKA ST,[612] [S] [ALASKA] [ST],4,STREET_NUMBER PRE_DIRECTION STREET_NAME STREET_TYPE,x,
3,3OPLMF3EU5NQEHP0WPMX5DVV8I4LN1,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3N2BF7Y2VQUKXNJ4J5X0OQ88XD6HMV,A3UWM3KJYEL5XU,Submitted,Sun Dec 03 00:20:05 PST 2017,Sun Dec 03 00:20:13 PST 2017,Wed Dec 06 00:20:13 PST 2017,,,,8,100% (3/3),100% (3/3),100% (3/3),821,540 RONLEE LN NW STE B,[540] [RONLEE] [LN] [NW] [STE] [B],6,STREET_NUMBER  STREET_NAME STREET_TYPE POST_DIRECTION UNIT_TYPE UNIT_NUMBER,x,
4,3OPLMF3EU5NQEHP0WPMX5DVV8I4LN1,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3S0TNUHWKTIO0ICY384RSNSFLGOD8U,A19HF1LN75N8EC,Submitted,Sun Dec 03 00:23:22 PST 2017,Sun Dec 03 00:24:44 PST 2017,Wed Dec 06 00:24:44 PST 2017,,,,82,0% (0/0),0% (0/0),0% (0/0),821,540 RONLEE LN NW STE B,[540] [RONLEE] [LN] [NW] [STE] [B],6,STREET_NUMBER STREET_NAME STREET_NAME POST_DIRECTION UNIT_TYPE UNIT_NUMBER,x,
5,3OPLMF3EU5NQEHP0WPMX5DVV8I4LN1,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3VBEN272MKZ9VM1YJWB4FZVDA2BSGJ,A26Y58YECZUZZG,Submitted,Sun Dec 03 00:20:10 PST 2017,Sun Dec 03 00:20:26 PST 2017,Wed Dec 06 00:20:26 PST 2017,,,,16,0% (0/0),0% (0/0),0% (0/0),821,540 RONLEE LN NW STE B,[540] [RONLEE] [LN] [NW] [STE] [B],6,STREET_NUMBER STREET_NAME STREET_TYPE POST_DIRECTION UNIT_TYPE UNIT_NUMBER,x,
6,306W7JMRYYYTY1GKZA8K9D9V7TS8BE,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3H7XDTSHKCR223I731L5COYYGF7WG2,A23PYWMBVV4IND,Submitted,Sun Dec 03 00:33:48 PST 2017,Sun Dec 03 00:38:05 PST 2017,Wed Dec 06 00:38:05 PST 2017,,,,257,0% (0/0),0% (0/0),0% (0/0),368,624 SUNSET PARK DR,[624] [SUNSET] [PARK] [DR],4,UNIT_NUMBER STREET_NAME STREET_TYPE POST_DIRECTION,x,
7,306W7JMRYYYTY1GKZA8K9D9V7TS8BE,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3IAS3U3I0FGKZ6CP9V4KN6RCWVK2B9,A3UWM3KJYEL5XU,Submitted,Sun Dec 03 00:11:43 PST 2017,Sun Dec 03 00:11:54 PST 2017,Wed Dec 06 00:11:54 PST 2017,,,,11,100% (3/3),100% (3/3),100% (3/3),368,624 SUNSET PARK DR,[624] [SUNSET] [PARK] [DR],4,STREET_NUMBER  STREET_NAME STREET_NAME STREET_TYPE,x,
8,306W7JMRYYYTY1GKZA8K9D9V7TS8BE,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,3TMFV4NEP8EN9OCPK39HKBH0SWV8WZ,A26Y58YECZUZZG,Submitted,Sun Dec 03 00:34:16 PST 2017,Sun Dec 03 00:34:33 PST 2017,Wed Dec 06 00:34:33 PST 2017,,,,17,0% (0/0),0% (0/0),0% (0/0),368,624 SUNSET PARK DR,[624] [SUNSET] [PARK] [DR],4,STREET_NUMBER STREET_NAME STREET_NAME STREET_TYPE,x,
9,3SMIWMMK615JK1L8X45LSJ45EL1WUX,3MCFX9UVS0L6IH88XBXSIDFVZSP86D,Tag the parts of an address,"Given an address, indicate which parts are street names, street numbers, etc.","POS-tagging, reading, writing, tagging, natural language processing",$0.08,Sat Dec 02 23:57:44 PST 2017,3,BatchId:3033837;OriginalHitTemplateId:712361150;,300,259200,Sat Dec 09 23:57:44 PST 2017,,,336YQZE83VE8HUZ9I3WRZT5IS4G5M3,A3UWM3KJYEL5XU,Submitted,Sun Dec 03 00:29:22 PST 2017,Sun Dec 03 00:29:28 PST 2017,Wed Dec 06 00:29:28 PST 2017,,,,6,100% (3/3),100% (3/3),100% (3/3),290,1874 BATUM RD N  STE 100,[1874] [BATUM] [RD] [N] [STE] [100],6,STREET_NUMBER  STREET_NAME STREET_TYPE POST_DIRECTION UNIT_TYPE UNIT_NUMBER,x,
