Single String Address,NUMBER,STREET,CITY,STATE,POSTCODE,Pre Street Direction,Street Name,Street Type,Post Street Direction,Street Number,Unit Type,Unit Number
11822 STENDALL PL N,11822,STENDALL PL N,SEATTLE,WA,98133.0,,STENDALL,PL,N,11822,,
4521 S  330TH PL,4521,S  330TH PL,FEDERAL WAY,WA,98001.0,S,330TH,PL,,4521,,
124 S  7TH AVE,124,S  7TH AVE,WALLA WALLA,WA,99362.0,S,7TH,AVE,,124,,
17239 124TH AVE NE,17239,124TH AVE NE,BOTHELL,WA,98011.0,,124TH,AVE,NE,17239,,
12901 NEWCASTLE WAY,12901,NEWCASTLE WAY,NEWCASTLE,WA,98056.0,,NEWCASTLE,WAY,,12901,,
6132 S  KEPPLER ST,6132,S  KEPPLER ST,SEATTLE,WA,98118.0,S,KEPPLER,ST,,6132,,
22500 SE  56TH ST,22500,SE  56TH ST,ISSAQUAH,WA,98029.0,SE,56TH,ST,,22500,,
3320 V ST SE,3320,V ST SE,AUBURN,WA,98002.0,,V,ST,SE,3320,,
21629 SE  257TH PL,21629,SE  257TH PL,MAPLE VALLEY,WA,98038.0,SE,257TH,PL,,21629,,
12423 NE  131ST CT,12423,NE  131ST CT,KIRKLAND,WA,98034.0,NE,131ST,CT,,12423,,
3530 E Campanile Ln,3530,E Campanile Ln,Spokane,WA,99223.0,E,Campanile,Ln,,3530,,
918 27TH AVE,918,27TH AVE,SEATTLE,WA,98122.0,,27TH,AVE,,918,,
1530 GRAY LYNN DR,1530,GRAY LYNN DR,WALLA WALLA CO,WA,99362.0,,GRAY LYNN,DR,,1530,,
340 N  COLLEGE AVE,340,N  COLLEGE AVE,COLLEGE PLACE,WA,99324.0,N,COLLEGE,AVE,,340,,
3000 SE  ROYAL HILLS DR,3000,SE  ROYAL HILLS DR,RENTON,WA,98058.0,SE,ROYAL HILLS,DR,,3000,,
22609 SE  16TH PL,22609,SE  16TH PL,SAMMAMISH,WA,98075.0,SE,16TH,PL,,22609,,
2102 E  MADISON ST,2102,E  MADISON ST,SEATTLE,WA,98112.0,E,MADISON,ST,,2102,,
6825 ELDERBERRY AVE SE,6825,ELDERBERRY AVE SE,SNOQUALMIE,WA,98065.0,,ELDERBERRY,AVE,SE,6825,,
30013 8TH PL S,30013,8TH PL S,FEDERAL WAY,WA,98003.0,,8TH,PL,S,30013,,
10431 SE  23RD ST,10431,SE  23RD ST,BELLEVUE,WA,98004.0,SE,23RD,ST,,10431,,
3624 E Kiernan Ave,3624,E Kiernan Ave,Spokane,WA,99205.0,E,Kiernan,Ave,,3624,,
2718 E 32nd Ave,2718,E 32nd Ave,Spokane,WA,99223.0,E,32nd,Ave,,2718,,
21311 96TH AVE S,21311,96TH AVE S,KENT,WA,98031.0,,96TH,AVE,S,21311,,
4529 168TH AVE SE,4529,168TH AVE SE,BELLEVUE,WA,98006.0,,168TH,AVE,SE,4529,,
1010 D ST SE,1010,D ST SE,AUBURN,WA,98002.0,,D,ST,SE,1010,,
4520 N Gustavus St,4520,N Gustavus St,Spokane,WA,99205.0,N,Gustavus,St,,4520,,
3011 E Wabash Ave,3011,E Wabash Ave,Spokane,WA,99217.0,E,Wabash,Ave,,3011,,
1324 W Boone Ave,1324,W Boone Ave,Spokane,WA,99201.0,W,Boone,Ave,,1324,,
1320 SW  162ND ST,1320,SW  162ND ST,BURIEN,WA,98166.0,SW,162ND,ST,,1320,,
2214 SW  WILLOW ST,2214,SW  WILLOW ST,SEATTLE,WA,98106.0,SW,WILLOW,ST,,2214,,
500 LOCHER RD,500,LOCHER RD,TOUCHET,WA,99360.0,,LOCHER,RD,,500,,
27117 36TH LN S,27117,36TH LN S,KENT,WA,98032.0,,36TH,LN,S,27117,,
20136 23RD PL NW,20136,23RD PL NW,SHORELINE,WA,98177.0,,23RD,PL,NW,20136,,
130 MERRILL RD,130,MERRILL RD,WALLA WALLA,WA,99362.0,,MERRILL,RD,,130,,
8327 PEGGYS PL SE,8327,PEGGYS PL SE,SNOQUALMIE,WA,98065.0,,PEGGYS,PL,SE,8327,,
1210 SPRING ST,1210,SPRING ST,SEATTLE,WA,98101.0,,SPRING,ST,,1210,,
19013 16TH AVE S,19013,16TH AVE S,SEATAC,WA,98188.0,,16TH,AVE,S,19013,,
2619 S  WASHINGTON ST,2619,S  WASHINGTON ST,SEATTLE,WA,98144.0,S,WASHINGTON,ST,,2619,,
899 W  OLYMPIC PL,899,W  OLYMPIC PL,SEATTLE,WA,98119.0,W,OLYMPIC,PL,,899,,
990 NAVION LN,990,NAVION LN,WALLA WALLA,WA,99362.0,,NAVION,LN,,990,,
17009 130TH AVE SE,17009,130TH AVE SE,RENTON,WA,98058.0,,130TH,AVE,SE,17009,,
5932 114TH PL SE,5932,114TH PL SE,BELLEVUE,WA,98006.0,,114TH,PL,SE,5932,,
1927 E  MILLER ST,1927,E  MILLER ST,SEATTLE,WA,98112.0,E,MILLER,ST,,1927,,
18500 70TH LN NE,18500,70TH LN NE,KENMORE,WA,98028.0,,70TH,LN,NE,18500,,
14615 NE  29TH PL,14615,NE  29TH PL,BELLEVUE,WA,98007.0,NE,29TH,PL,,14615,,
4460 184TH AVE SE,4460,184TH AVE SE,ISSAQUAH,WA,98027.0,,184TH,AVE,SE,4460,,
186 BRICKWOOD DR,186,BRICKWOOD DR,WALLA WALLA CO,WA,99362.0,,BRICKWOOD,DR,,186,,
4131 W Hood River Ave,4131,W Hood River Ave,Spokane,WA,99224.0,W,Hood River,Ave,,4131,,
