ID,plain
356,612 S ALASKA ST               
821,540 RONLEE LN NW STE B        
368,624 SUNSET PARK DR            
290,1874 BATUM RD N  STE 100      
134,15026 E BREVIER RD SUITE A    
1427,750 E WAPATO LAKE RD UNIT C   
972,123 ELWHA RD                  
173,221 OMAK RIVER RD             
842,298 POORMAN CREEK RD #A       
170,2505 N COMMERCIAL AVE UNIT C/D
416,2200 N RIVER RD               
1134,1123 351ST ST STE B           
756,2407 TALLEY WAY               
411,1824 RD N NE UNIT 3           
531,1811 BAKER WAY                
521,3660 LINDSAY RD SUITE 1M      
538,4055 HAMMER DR STE 103        
910,1788 3RD AVE W                
12,8531 POSTMA RD STE P          
1325,3895 MALAGA AVE               
241,4020 34TH AVE NE              
101,676 S INDUSTRIAL WAY          
636,7656 STATE ROUTE 20           
1122,126 NEWMAN CREEK UNIT 4       
341,2524 N MACHIAS RD UNIT B      
898,43095 CHALLENGER RD  LOT 10   
935,512 E PACIFIC AVE             
450,133302 W JOHNSON RD STE A     
919,5805 E SHARP AVE STE C6       
57,560-2 HAWK HAVEN RD           
30,7019 RD 9 NW STE S            
103,5016 E ELK TO HWY RD  STE A   
632,171 FAIRWAY CT STE B          
1121,55 RED CEDAR                  
1382,1191 PETERSON SWAMP RD STE A  
247,15505 WEBBER CANYON RD        
228,3005 CHANDLER ST              
361,2009 W JOHANSEN RD STE A      
1369,221 BRUENN AVE                
1036,17835 59TH AVE NE BLDG 8 STE A
975,2504 HARTFORD DR              
737,4562 MERIDIAN ST #A           
225,2900 LIND AVE SW STE A        
169,16810 415TH AVE SE BLDG D #2  
344,4260 PACIFIC HWY              
1002,11509 W 21ST AVE BLD 2        
1171,680 HAYS RD                   
1052,8820 152ND ST SE STE A        
976,2203 S RIETH LN SUITE 1       
708,2121 LINCOLN ST               
1003,28011 NE 4TH PL               
549,142 PEMBERTON PL STE B        
1214,420 E 18TH ST UNIT B          
811,212 SE BANJO LN               
28,7019 RD 9 NW STE J            
277,24 STRINGTOWN ROAD STE 1      
724,16315 N COUGAR LN STE A       
558,27613 127TH AVE NE SUITE B    
1385,2018 IRON ST STE B            
152,19310 128TH AVE SE #B         
925,24862 BENHAM RD STE A         
917,1520 CENTER ST  STE D         
683,16940 VIRCON DR SW #A         
801,1550 W GALLAGHER RD           
728,116 B SOUTH STATE FRONTAGE RD 
630,2797 TURNING POINTE LOOP      
746,1919 E FRANCIS AVE STE B      
1353,1631 E PORTLAND AVE           
1061,1610 NW 8TH STREET SUITE B    
116,1199 W CUNNINGHAM RD STE C-E1 
223,6212 NE 152ND AVE             
426,669 N RICHARDS RD             
626,49 BAILEY LOOP DRIVE STE B    
285,23410 HIDDEN VALLEY RD STE A  
1318,2000 ROZA DR STE B1           
1387,2310 W SUTTON RD              
1326,166 BENSON CREEK DR           
1070,500 ROCKY RIVER RD STE A      
1179,55 REEVAS BASIN RD STE C      
191,39355 E ORCHARD RD  STE A     
499,26404 PIONEER WAY NW STE A    
118,7903 BEAVER VALLEY RD STE A   
641,26815 N HARDESTY RD STE A     
1373,13610 SW 240TH ST STE A       
820,1445 INDUSTRIAL WAY           
1405,4030 99TH AVE NE              
670,11 CASEY'S RANCH RD STE A     
656,2400 W SKOKOMISH VALLEY RD    
963,22330 15TH AVE NE             
479,511 WAUTOMA RD                
1098,9472 ROAD U NORTHWEST         
1151,200115 E GAME FARM RD STE B   
1445,9840 MARTIN LUTHER KING JR WAY
249,4165 HANNEGAN RD              
1078,21418 SE 436TH                
1135,7457 S MADISON ST STE C       
1298,381 DELAMETER RD              
1345,8531 POSTMA RD STE T          
244,5373 GUIDE MERIDIAN STE F5    
766,485 STATE ROUTE 409           
398,9730 LATHROP INDUSTRIAL DR SW 
1284,1891 LEE ROAD                 
709,5506 LACKEY CT STE 1          
529,141 W WESTFILED CT STE B      
289,56005 N THOMAS RD STE A       
1207,26268 12 TREES LN NW BLDG6 110
330,5373 GUIDE MERIDIAN RD STE D3 
1184,2916 STATE STREET   STE 301   
834,311 E EXPORT RD               
924,4611 S LINKE RD               
861,7836 GOODWIN RD               
157,3303 S 35TH ST STE B-21       
301,6212 NE 152ND AVE             
1166,18791 CEDARDALE RD STE A      
999,27 HARRELL RD                 
916,8500 14TH AVE S STE B         
642,2668 HIGHWAY 20 E LOT T       
1292,17636 STATE ROUTE 20          
857,5805 E SHARP AVE STE A3 & A4  
1331,13731 250TH ST NE SUITE C     
1010,421 CHESAW RD   STE B         
139,111 SARGISON LOOP             
1021,3368 EAST HWY 101             
382,"4499 ROAD L NE, SUITE B       "
299,6101 NE 127TH AVE SUITE 400   
755,5004 WEISHAAR RD E            
29,7019 RD 9 NW STE D            
1216,652 SQUIRES RD STE 1          
983,7118 E JENNIE LN #A           
41,9790 PADILLA HEIGHTS RD       
540,55 REVIS BASIN RD             
1140,186 CHEROKEE RD               
1302,7990 NE ECOLOGY RD            
370,6369 MT BAKER HWY STE A       
174,3 BLUE MOON RD #A             
104,181 KATIES LN SUITE B         
965,6503 DELPHI RD NW STE A       
1035,2451 N FERGUSON RD            
96,3171 GOLDIE RD BLDG E         
216,234 OMAK RIVER RD STE A       
777,3902 10TH ST SE               
97,19020 SR 203   STE B          
614,26320 STERETT RD N            
1333,5373 GUIDE MERIDIAN RD #C1-2  
474,8213 STEAM BOAT ISLAND RD NW  
1044,2232 PORT OF TACOMA RD        
1083,16212 MAY CREEK ROAD          
1108,"421 CHESAW RD LOT 1, UNIT A   "
646,126 NEWMAN CREEK RD           
1056,3049 BAKIE RD                 
321,1250 W SCHREIBER RD           
1006,6123 199TH AVE SE  STE 2      
43,145 GREENACRES RD STE 3       
1180,11503 60TH ST NE              
515,2916 STATE STREET             
687,1571 SUMMIT VIEW RD           
354,351 W MERZ RD STE 1           
637,5008 226 ST NW STE A          
1330,3303 W HAMILTON RD            
374,5990 INDEPENDENCE RD STE B    
360,192 W FREDERICKS ST           
454,10517 W BALMER RD #A          
288,105 MILL ST                   
1337,2005 DIVISION ST              
1432,43112 248TH AVE SE UNIT C     
232,31688 D HWY 97 SUITE A        
487,8531 POSTMA RD STE G          
791,1561 WIND RIVER HWY           
800,1120 S FAIRCHILD ST  STE A    
644,23321 HIDDEN VALLEY RD        
31,960 VALLEY HWY STE A          
661,1502 CENTER ST                
675,3303 S 35TH ST STE B-8        
1097,103 CRESTLOCH RD              
1128,10011 173RD AVE SW            
207,23095 BAIRD SPRINGS RD #B     
723,65 SIMMONS RD STE 1           
275,5898 MT BAKER HWY B           
1336,1401 MOORE RD STE A           
1249,30320 OLD 99 N                
423,421 CHESAW RD                 
1203,1926 PINE CR RD  #3           
238,2310 WEST SUTTON RD STE D1    
107,12917 S SHORT RD STE A        
1017,17830 DANE LN SW              
258,8618 99TH AVE NE STE A        
200,2381 COOKE CANYON RD #A       
372,126 NEWMAN CREEK RD UNIT 4    
1116,931 GOERIG RD                 
949,6481 PORTAL WAY STE A         
142,728 TURKEY RANCH RD STE A     
261,1802 BIRCHFIELD RD            
143,5256 UPPER HEDGES ROAD  STE B 
561,56104 NORTH THOMAS ROAD       
519,26867 156TH PL SE             
769,8040 DAY RD W BLDG 3 UNIT 2   
1231,139 GREENACRES RD             
503,3214 NE 65TH ST               
1005,1512 ROAD 2 NW STE A          
490,14840 RAINIER VIEW DR SE      
