ID,plain,tags,number
356,612 S ALASKA ST               ,[612] [S] [ALASKA] [ST],4
821,540 RONLEE LN NW STE B        ,[540] [RONLEE] [LN] [NW] [STE] [B],6
368,624 SUNSET PARK DR            ,[624] [SUNSET] [PARK] [DR],4
290,1874 BATUM RD N  STE 100      ,[1874] [BATUM] [RD] [N] [STE] [100],6
134,15026 E BREVIER RD SUITE A    ,[15026] [E] [BREVIER] [RD] [SUITE] [A],6
1427,750 E WAPATO LAKE RD UNIT C   ,[750] [E] [WAPATO] [LAKE] [RD] [UNIT] [C],7
972,123 ELWHA RD                  ,[123] [ELWHA] [RD],3
173,221 OMAK RIVER RD             ,[221] [OMAK] [RIVER] [RD],4
842,298 POORMAN CREEK RD #A       ,[298] [POORMAN] [CREEK] [RD] [#A],5
170,2505 N COMMERCIAL AVE UNIT C/D,[2505] [N] [COMMERCIAL] [AVE] [UNIT] [C/D],6
416,2200 N RIVER RD               ,[2200] [N] [RIVER] [RD],4
1134,1123 351ST ST STE B           ,[1123] [351ST] [ST] [STE] [B],5
756,2407 TALLEY WAY               ,[2407] [TALLEY] [WAY],3
411,1824 RD N NE UNIT 3           ,[1824] [RD] [N] [NE] [UNIT] [3],6
531,1811 BAKER WAY                ,[1811] [BAKER] [WAY],3
521,3660 LINDSAY RD SUITE 1M      ,[3660] [LINDSAY] [RD] [SUITE] [1M],5
538,4055 HAMMER DR STE 103        ,[4055] [HAMMER] [DR] [STE] [103],5
910,1788 3RD AVE W                ,[1788] [3RD] [AVE] [W],4
12,8531 POSTMA RD STE P          ,[8531] [POSTMA] [RD] [STE] [P],5
1325,3895 MALAGA AVE               ,[3895] [MALAGA] [AVE],3
241,4020 34TH AVE NE              ,[4020] [34TH] [AVE] [NE],4
101,676 S INDUSTRIAL WAY          ,[676] [S] [INDUSTRIAL] [WAY],4
636,7656 STATE ROUTE 20           ,[7656] [STATE] [ROUTE] [20],4
1122,126 NEWMAN CREEK UNIT 4       ,[126] [NEWMAN] [CREEK] [UNIT] [4],5
341,2524 N MACHIAS RD UNIT B      ,[2524] [N] [MACHIAS] [RD] [UNIT] [B],6
898,43095 CHALLENGER RD  LOT 10   ,[43095] [CHALLENGER] [RD] [LOT] [10],5
935,512 E PACIFIC AVE             ,[512] [E] [PACIFIC] [AVE],4
450,133302 W JOHNSON RD STE A     ,[133302] [W] [JOHNSON] [RD] [STE] [A],6
919,5805 E SHARP AVE STE C6       ,[5805] [E] [SHARP] [AVE] [STE] [C6],6
57,560-2 HAWK HAVEN RD           ,[5] [60-] [2] [HAWK] [HAVEN] [RD],6
30,7019 RD 9 NW STE S            ,[7019] [RD] [9] [NW] [STE] [S],6
103,5016 E ELK TO HWY RD  STE A   ,[5016] [E] [ELK] [TO] [HWY] [RD] [STE] [A],8
632,171 FAIRWAY CT STE B          ,[171] [FAIRWAY] [CT] [STE] [B],5
1121,55 RED CEDAR                  ,[55] [RED] [CEDAR],3
1382,1191 PETERSON SWAMP RD STE A  ,[1191] [PETERSON] [SWAMP] [RD] [STE] [A],6
247,15505 WEBBER CANYON RD        ,[15505] [WEBBER] [CANYON] [RD],4
228,3005 CHANDLER ST              ,[3005] [CHANDLER] [ST],3
361,2009 W JOHANSEN RD STE A      ,[2009] [W] [JOHANSEN] [RD] [STE] [A],6
1369,221 BRUENN AVE                ,[221] [BRUENN] [AVE],3
1036,17835 59TH AVE NE BLDG 8 STE A,[17835] [59TH] [AVE] [NE] [BLDG] [8] [STE] [A],8
975,2504 HARTFORD DR              ,[2504] [HARTFORD] [DR],3
737,4562 MERIDIAN ST #A           ,[4562] [MERIDIAN] [ST] [#A],4
225,2900 LIND AVE SW STE A        ,[2900] [LIND] [AVE] [SW] [STE] [A],6
169,16810 415TH AVE SE BLDG D #2  ,[16810] [415TH] [AVE] [SE] [BLDG] [D] [#2],7
344,4260 PACIFIC HWY              ,[4260] [PACIFIC] [HWY],3
1002,11509 W 21ST AVE BLD 2        ,[11509] [W] [21ST] [AVE] [BLD] [2],6
1171,680 HAYS RD                   ,[680] [HAYS] [RD],3
1052,8820 152ND ST SE STE A        ,[8820] [152ND] [ST] [SE] [STE] [A],6
976,2203 S RIETH LN SUITE 1       ,[2203] [S] [RIETH] [LN] [SUITE] [1],6
708,2121 LINCOLN ST               ,[2121] [LINCOLN] [ST],3
1003,28011 NE 4TH PL               ,[28011] [NE] [4TH] [PL],4
549,142 PEMBERTON PL STE B        ,[142] [PEMBERTON] [PL] [STE] [B],5
1214,420 E 18TH ST UNIT B          ,[420] [E] [18TH] [ST] [UNIT] [B],6
811,212 SE BANJO LN               ,[212] [SE] [BANJO] [LN],4
28,7019 RD 9 NW STE J            ,[7019] [RD] [9] [NW] [STE] [J],6
277,24 STRINGTOWN ROAD STE 1      ,[24] [STRINGTOWN] [ROAD] [STE] [1],5
724,16315 N COUGAR LN STE A       ,[16315] [N] [COUGAR] [LN] [STE] [A],6
558,27613 127TH AVE NE SUITE B    ,[27613] [127TH] [AVE] [NE] [SUITE] [B],6
1385,2018 IRON ST STE B            ,[2018] [IRON] [ST] [STE] [B],5
152,19310 128TH AVE SE #B         ,[19310] [128TH] [AVE] [SE] [#B],5
925,24862 BENHAM RD STE A         ,[24862] [BENHAM] [RD] [STE] [A],5
917,1520 CENTER ST  STE D         ,[1520] [CENTER] [ST] [STE] [D],5
683,16940 VIRCON DR SW #A         ,[16940] [VIRCON] [DR] [SW] [#A],5
801,1550 W GALLAGHER RD           ,[1550] [W] [GALLAGHER] [RD],4
728,116 B SOUTH STATE FRONTAGE RD ,[116] [B] [SOUTH] [STATE] [FRONTAGE] [RD],6
630,2797 TURNING POINTE LOOP      ,[2797] [TURNING] [POINTE] [LOOP],4
746,1919 E FRANCIS AVE STE B      ,[1919] [E] [FRANCIS] [AVE] [STE] [B],6
1353,1631 E PORTLAND AVE           ,[1631] [E] [PORTLAND] [AVE],4
1061,1610 NW 8TH STREET SUITE B    ,[1610] [NW] [8TH] [STREET] [SUITE] [B],6
116,1199 W CUNNINGHAM RD STE C-E1 ,[1199] [W] [CUNNINGHAM] [RD] [STE] [C-E1],6
223,6212 NE 152ND AVE             ,[6212] [NE] [152ND] [AVE],4
426,669 N RICHARDS RD             ,[669] [N] [RICHARDS] [RD],4
626,49 BAILEY LOOP DRIVE STE B    ,[49] [BAILEY] [LOOP] [DRIVE] [STE] [B],6
285,23410 HIDDEN VALLEY RD STE A  ,[23410] [HIDDEN] [VALLEY] [RD] [STE] [A],6
1318,2000 ROZA DR STE B1           ,[2000] [ROZA] [DR] [STE] [B1],5
1387,2310 W SUTTON RD              ,[2310] [W] [SUTTON] [RD],4
1326,166 BENSON CREEK DR           ,[166] [BENSON] [CREEK] [DR],4
1070,500 ROCKY RIVER RD STE A      ,[500] [ROCKY] [RIVER] [RD] [STE] [A],6
1179,55 REEVAS BASIN RD STE C      ,[55] [REEVAS] [BASIN] [RD] [STE] [C],6
191,39355 E ORCHARD RD  STE A     ,[39355] [E] [ORCHARD] [RD] [STE] [A],6
499,26404 PIONEER WAY NW STE A    ,[26404] [PIONEER] [WAY] [NW] [STE] [A],6
118,7903 BEAVER VALLEY RD STE A   ,[7903] [BEAVER] [VALLEY] [RD] [STE] [A],6
641,26815 N HARDESTY RD STE A     ,[26815] [N] [HARDESTY] [RD] [STE] [A],6
1373,13610 SW 240TH ST STE A       ,[13610] [SW] [240TH] [ST] [STE] [A],6
820,1445 INDUSTRIAL WAY           ,[1445] [INDUSTRIAL] [WAY],3
1405,4030 99TH AVE NE              ,[4030] [99TH] [AVE] [NE],4
670,11 CASEY'S RANCH RD STE A     ,[11] [CASEY'S] [RANCH] [RD] [STE] [A],6
656,2400 W SKOKOMISH VALLEY RD    ,[2400] [W] [SKOKOMISH] [VALLEY] [RD],5
963,22330 15TH AVE NE             ,[22330] [15TH] [AVE] [NE],4
479,511 WAUTOMA RD                ,[511] [WAUTOMA] [RD],3
1098,9472 ROAD U NORTHWEST         ,[9472] [ROAD] [U] [NORTHWEST],4
1151,200115 E GAME FARM RD STE B   ,[200115] [E] [GAME] [FARM] [RD] [STE] [B],7
1445,9840 MARTIN LUTHER KING JR WAY,[9840] [MARTIN] [LUTHER] [KING] [JR] [WAY],6
249,4165 HANNEGAN RD              ,[4165] [HANNEGAN] [RD],3
1078,21418 SE 436TH                ,[21418] [SE] [436TH],3
1135,7457 S MADISON ST STE C       ,[7457] [S] [MADISON] [ST] [STE] [C],6
1298,381 DELAMETER RD              ,[381] [DELAMETER] [RD],3
1345,8531 POSTMA RD STE T          ,[8531] [POSTMA] [RD] [STE] [T],5
244,5373 GUIDE MERIDIAN STE F5    ,[5373] [GUIDE] [MERIDIAN] [STE] [F5],5
766,485 STATE ROUTE 409           ,[485] [STATE] [ROUTE] [409],4
398,9730 LATHROP INDUSTRIAL DR SW ,[9730] [LATHROP] [INDUSTRIAL] [DR] [SW],5
1284,1891 LEE ROAD                 ,[1891] [LEE] [ROAD],3
709,5506 LACKEY CT STE 1          ,[5506] [LACKEY] [CT] [STE] [1],5
529,141 W WESTFILED CT STE B      ,[141] [W] [WESTFILED] [CT] [STE] [B],6
289,56005 N THOMAS RD STE A       ,[56005] [N] [THOMAS] [RD] [STE] [A],6
1207,26268 12 TREES LN NW BLDG6 110,[26268] [12] [TREES] [LN] [NW] [BLDG6] [110],7
330,5373 GUIDE MERIDIAN RD STE D3 ,[5373] [GUIDE] [MERIDIAN] [RD] [STE] [D3],6
1184,2916 STATE STREET   STE 301   ,[2916] [STATE] [STREET] [STE] [301],5
834,311 E EXPORT RD               ,[311] [E] [EXPORT] [RD],4
924,4611 S LINKE RD               ,[4611] [S] [LINKE] [RD],4
861,7836 GOODWIN RD               ,[7836] [GOODWIN] [RD],3
157,3303 S 35TH ST STE B-21       ,[3303] [S] [35TH] [ST] [STE] [B-21],6
301,6212 NE 152ND AVE             ,[6212] [NE] [152ND] [AVE],4
1166,18791 CEDARDALE RD STE A      ,[18791] [CEDARDALE] [RD] [STE] [A],5
999,27 HARRELL RD                 ,[27] [HARRELL] [RD],3
916,8500 14TH AVE S STE B         ,[8500] [14TH] [AVE] [S] [STE] [B],6
642,2668 HIGHWAY 20 E LOT T       ,[2668] [HIGHWAY] [20] [E] [LOT] [T],6
1292,17636 STATE ROUTE 20          ,[17636] [STATE] [ROUTE] [20],4
857,5805 E SHARP AVE STE A3 & A4  ,[5805] [E] [SHARP] [AVE] [STE] [A3] [&] [A4],8
1331,13731 250TH ST NE SUITE C     ,[13731] [250TH] [ST] [NE] [SUITE] [C],6
1010,421 CHESAW RD   STE B         ,[421] [CHESAW] [RD] [STE] [B],5
139,111 SARGISON LOOP             ,[111] [SARGISON] [LOOP],3
1021,3368 EAST HWY 101             ,[3368] [EAST] [HWY] [101],4
382,"4499 ROAD L NE, SUITE B       ","[4499] [ROAD] [L] [NE,] [SUITE] [B]",6
299,6101 NE 127TH AVE SUITE 400   ,[6101] [NE] [127TH] [AVE] [SUITE] [400],6
755,5004 WEISHAAR RD E            ,[5004] [WEISHAAR] [RD] [E],4
29,7019 RD 9 NW STE D            ,[7019] [RD] [9] [NW] [STE] [D],6
1216,652 SQUIRES RD STE 1          ,[652] [SQUIRES] [RD] [STE] [1],5
983,7118 E JENNIE LN #A           ,[7118] [E] [JENNIE] [LN] [#A],5
41,9790 PADILLA HEIGHTS RD       ,[9790] [PADILLA] [HEIGHTS] [RD],4
540,55 REVIS BASIN RD             ,[55] [REVIS] [BASIN] [RD],4
1140,186 CHEROKEE RD               ,[186] [CHEROKEE] [RD],3
1302,7990 NE ECOLOGY RD            ,[7990] [NE] [ECOLOGY] [RD],4
370,6369 MT BAKER HWY STE A       ,[6369] [MT] [BAKER] [HWY] [STE] [A],6
174,3 BLUE MOON RD #A             ,[3] [BLUE] [MOON] [RD] [#A],5
104,181 KATIES LN SUITE B         ,[181] [KATIES] [LN] [SUITE] [B],5
965,6503 DELPHI RD NW STE A       ,[6503] [DELPHI] [RD] [NW] [STE] [A],6
1035,2451 N FERGUSON RD            ,[2451] [N] [FERGUSON] [RD],4
96,3171 GOLDIE RD BLDG E         ,[3171] [GOLDIE] [RD] [BLDG] [E],5
216,234 OMAK RIVER RD STE A       ,[234] [OMAK] [RIVER] [RD] [STE] [A],6
777,3902 10TH ST SE               ,[3902] [10TH] [ST] [SE],4
97,19020 SR 203   STE B          ,[19020] [SR] [203] [STE] [B],5
