st_abbrev,street_type
aly,alley
arc,arcade
av,avenue
ave,avenue
blf,bluff
bl,boulevard
blvd,boulevard
br,bridge
brg,bridge
byp,bypass
ci,circle
cir,circle
cres,crescent
cr,crescent
crt,court
cswy,causeway
ct,court
ctr,center
cv,cove
dgnl,diagonal
dr,drive
expy,expressway
expwy,expressway
ewy,freeway
grd,grade
hbr,harbor
holw,hollow
hwy,highway
ln,lane
lp,loop
lndg,landing
mal,mall
mtwy,motorway
ovps,overpass
pk,park
pw,parkway
pky,parkway
pkwy,parkway
pl,place
plz,plaza
rd,road
rdg,ridge
rte,route
skwy,skyway
sq,square
terr,terrace
tr,terrace
te,terrace
ter,terrace
tfwy,trafficway
thfr,thoroughfare
thwy,thruway
tpke,turnpike
trce,trace
tunl,tunnel
unp,underpass
wkwy,walkway
xing,crossing
anx,annex
arc,arcade
byu,bayoo
bch,beach
bnd,bend
btm,bottom
br,branch
brk,brook
brks,brooks
bg,burg
bgs,burgs
cp,camp
cyn,canyon
cpe,cape
ctrs,centers
cl,close
cirs,circles
clf,cliff
clfs,cliffs
clb,club
cmn,common
cor,corner
cors,corners
crse,course
cts,courts
cv,cove
cvs,coves
crk,creek
crst,crest
xrd,crossroad
curv,curve
dl,dale
dm,dam
dv,divide
drs,drives
est,estate
ests,estates
ext,extension
exts,extensions
fls,falls
fry,ferry
fld,field
flds,fields
flt,flat
flts,flats
frd,ford
frds,fords
frst,forest
frg,forge
frgs,forges
frk,fork
frks,forks
ft,fort
gdn,garden
gdns,gardens
gtwy,gateway
gln,glen
glns,glens
grn,green
grns,greens
grv,grove
grvs,groves
hbrs,harbours
hvn,haven
hts,heights
hl,hill
hls,hills
inlt,inlet
is,island
iss,islands
jr,junior
jct,junction
jcts,junctions
ky,k
kys,ks
knl,knoll
knls,knolls
la,lane
lk,lake
lks,lakes
lgt,light
lgts,lights
lf,loaf
lck,lock
lcks,locks
ldg,lodge
mnr,manor
mnrs,manors
mdw,meadow
mdws,meadows
ml,mill
mls,mills
msn,mission
mt,mount
mtn,mountain
mtns,mountains
nck,neck
orch,orchard
oval,oval
opas,overpass
psge,passage
pne,pine
pnes,pines
pln,plain
plns,plains
pt,point
pts,points
prt,port
prts,ports
pr,prairie
radl,radial
rnch,ranch
rpd,rapid
rpds,rapids
rst,rest
rdgs,ridges
riv,river
rds,roads
sr,senior
shl,shoal
shls,shoals
shr,shore
shrs,shores
spg,spring
spgs,springs
sqs,squares
sta,station
stra,stravenue
strm,stream
sts,streets
smt,summit
trwy,throughway
trak,track
trfy,trafficway
trl,trail
upas,underpass
un,union
uns,unions
vly,valley
vlys,valleys
via,viaduct
vw,view
vws,views
vlg,village
vlgs,villages
vl,ville
vis,vista
wl,well
wls,wells
wy,way
rge,range
twp,township
st,street
aly.,alley
arc.,arcade
av.,avenue
ave.,avenue
blf.,bluff
bl.,boulevard
blvd.,boulevard
br.,bridge
brg.,bridge
byp.,bypass
ci.,circle
cir.,circle
cres.,crescent
cr.,crescent
crt.,court
cswy.,causeway
ct.,court
ctr.,center
cv.,cove
dgnl.,diagonal
dr.,drive
expy.,expressway
expwy.,expressway
ewy.,freeway
grd.,grade
hbr.,harbor
holw.,hollow
hwy.,highway
ln.,lane
lp.,loop
lndg.,landing
mal.,mall
mtwy.,motorway
ovps.,overpass
pk.,park
pw.,parkway
pky.,parkway
pkwy.,parkway
pl.,place
plz.,plaza
rd.,road
rdg.,ridge
rte.,route
skwy.,skyway
sq.,square
terr.,terrace
tr.,terrace
te.,terrace
ter.,terrace
tfwy.,trafficway
thfr.,thoroughfare
thwy.,thruway
tpke.,turnpike
trce.,trace
tunl.,tunnel
unp.,underpass
wkwy.,walkway
xing.,crossing
anx.,annex
arc.,arcade
byu.,bayoo
bch.,beach
bnd.,bend
btm.,bottom
br.,branch
brk.,brook
brks.,brooks
bg.,burg
bgs.,burgs
cp.,camp
cyn.,canyon
cpe.,cape
ctrs.,centers
cl.,close
cirs.,circles
clf.,cliff
clfs.,cliffs
clb.,club
cmn.,common
cor.,corner
cors.,corners
crse.,course
cts.,courts
cv.,cove
cvs.,coves
crk.,creek
crst.,crest
xrd.,crossroad
curv.,curve
dl.,dale
dm.,dam
dv.,divide
drs.,drives
est.,estate
ests.,estates
ext.,extension
exts.,extensions
fls.,falls
fry.,ferry
fld.,field
flds.,fields
flt.,flat
flts.,flats
frd.,ford
frds.,fords
frst.,forest
frg.,forge
frgs.,forges
frk.,fork
frks.,forks
ft.,fort
gdn.,garden
gdns.,gardens
gtwy.,gateway
gln.,glen
glns.,glens
grn.,green
grns.,greens
grv.,grove
grvs.,groves
hbrs.,harbours
hvn.,haven
hts.,heights
hl.,hill
hls.,hills
inlt.,inlet
is.,island
iss.,islands
jr.,junior
jct.,junction
jcts.,junctions
ky.,k
kys.,ks
knl.,knoll
knls.,knolls
la.,lane
lk.,lake
lks.,lakes
lgt.,light
lgts.,lights
lf.,loaf
lck.,lock
lcks.,locks
ldg.,lodge
mnr.,manor
mnrs.,manors
mdw.,meadow
mdws.,meadows
ml.,mill
mls.,mills
msn.,mission
mt.,mount
mtn.,mountain
mtns.,mountains
nck.,neck
orch.,orchard
oval.,oval
opas.,overpass
psge.,passage
pne.,pine
pnes.,pines
pln.,plain
plns.,plains
pt.,point
pts.,points
prt.,port
prts.,ports
pr.,prairie
radl.,radial
rnch.,ranch
rpd.,rapid
rpds.,rapids
rst.,rest
rdgs.,ridges
riv.,river
rds.,roads
sr.,senior
shl.,shoal
shls.,shoals
shr.,shore
shrs.,shores
spg.,spring
spgs.,springs
sqs.,squares
sta.,station
stra.,stravenue
strm.,stream
sts.,streets
smt.,summit
trwy.,throughway
trak.,track
trfy.,trafficway
trl.,trail
upas.,underpass
un.,union
